id	   #	     x	     y	     w 
1   1	     -71.438477	     41.849023	     0  
2   2	     -71.420452	     41.872675	     0  
3   3	     -71.471872	     41.840745	     0  
4   4	     -71.474275	     41.816825	     0  
5   5	     -71.498387	     41.849151	     0  
6   6	     -71.441230	     41.824309	     0  
7   7	     -71.456415	     41.823955	     0  
8   8	     -71.457874	     41.873697	     0  
9   9	     -71.471264	     41.828560	     0  
10   10	     -71.445343	     41.838920	     0  
11   11	     -71.423199	     41.861681	     0  
