  id	   #	     x	     y	     w
   0	 297	-73.97	 40.77	  0.00
   1	  28	-73.97	 40.79	  0.20
   2	  33	-73.98	 40.79	  0.20
   3	  59	-73.96	 40.79	  0.20
   4	  72	-73.93	 40.80	  0.20
   5	  83	-73.99	 40.74	  0.20
   6	  93	-74.01	 40.75	  0.20
   7	 124	-73.95	 40.77	  0.39
   8	 137	-73.95	 40.78	  2.55
   9	 144	-73.98	 40.78	  5.97
  10	 159	-73.99	 40.75	  0.27
  11	 180	-73.98	 40.77	  0.20
  12	 185	-73.99	 40.73	  0.25
  13	 195	-73.98	 40.77	  0.20
  14	 210	-73.98	 40.79	  0.21
  15	 211	-73.98	 40.79	  0.21
  16	 213	-73.98	 40.79	  1.15
  17	 233	-73.97	 40.80	  0.20
  18	 238	-73.96	 40.81	  1.17
  19	 349	-73.98	 40.77	  0.20
  20	 360	-74.01	 40.75	  0.20
  21	 365	-74.00	 40.76	  0.61
  22	 398	-73.99	 40.78	 10.03
  23	 401	-73.98	 40.78	  0.20
  24	 414	-73.98	 40.79	  0.20
  25	 430	-73.97	 40.80	  0.67
  26	 436	-73.95	 40.80	  2.17
  27	 451	-73.99	 40.77	  3.65
  28	 499	-73.96	 40.80	  0.25
  29	 508	-73.97	 40.76	  0.20
  30	 523	-73.95	 40.81	  0.20
  31	 569	-73.95	 40.82	  0.20
  32	 579	-73.93	 40.80	  0.24
  33	 697	-73.99	 40.75	  0.20
  34	 717	-73.96	 40.80	  0.20
  35	 756	-73.97	 40.76	  0.82
  36	 780	-73.94	 40.79	  0.20
  37	 802	-73.99	 40.74	  1.21
  38	 871	-73.99	 40.78	 10.53
  39	 910	-73.99	 40.74	  0.45
  40	 933	-73.95	 40.82	  0.20
  41	 968	-74.00	 40.74	  0.20
  42	1016	-73.95	 40.81	  0.24
  43	1019	-73.94	 40.82	  0.29
  44	1068	-73.96	 40.75	  1.06
  45	1086	-73.96	 40.81	  0.64
  46	1107	-73.97	 40.80	  0.22
  47	1126	-73.97	 40.79	  0.20
  48	1151	-73.98	 40.74	  0.20
  49	1153	-73.98	 40.74	  0.20
  50	1163	-73.97	 40.75	  1.10
  51	1164	-73.97	 40.75	  0.42
  52	1169	-73.97	 40.75	 19.68
  53	1172	-73.97	 40.76	  0.36
  54	1280	-73.95	 40.78	  0.21
  55	1367	-73.98	 40.75	  0.20
  56	1419	-73.98	 40.74	  0.20
  57	1462	-73.97	 40.76	  0.20
  58	1496	-73.96	 40.77	  0.50
  59	1538	-73.97	 40.76	  3.38
  60	1559	-73.98	 40.75	  2.30
  61	1561	-73.95	 40.80	  0.20
  62	1563	-73.94	 40.80	  0.93
  63	1597	-73.94	 40.80	  0.20
  64	1623	-73.94	 40.80	  0.21
  65	1628	-73.95	 40.78	  1.73
  66	1697	-73.97	 40.75	  8.52
  67	1701	-73.96	 40.76	  3.08
  68	1739	-73.97	 40.76	  0.20
  69	1747	-73.93	 40.82	  0.25
  70	1752	-73.93	 40.81	  0.20
  71	1790	-73.94	 40.75	  0.20
  72	1853	-73.95	 40.75	  0.20
  73	1883	-73.95	 40.75	  0.46
  74	1902	-73.94	 40.74	  5.44
  75	1991	-73.94	 40.75	  0.20
  76	2041	-73.99	 40.77	  0.22
  77	2128	-73.96	 40.81	  3.01
  78	2152	-73.93	 40.81	  2.16
  79	2177	-73.94	 40.75	  0.22
  80	2180	-73.96	 40.76	 23.65
  81	2248	-73.96	 40.77	  0.22
  82	2317	-73.98	 40.78	  1.47
  83	2352	-73.98	 40.77	  0.20
  84	2381	-73.95	 40.80	  0.20
  85	2409	-73.95	 40.81	  0.60
  86	2413	-73.95	 40.80	  0.20
  87	2434	-74.00	 40.77	  0.25
  88	2466	-73.99	 40.77	  0.20
  89	2471	-73.95	 40.80	  0.20
  90	2483	-73.95	 40.80	  0.20
  91	2496	-73.95	 40.80	  1.20
  92	2538	-73.96	 40.76	  0.23
  93	2558	-73.94	 40.80	  0.20
  94	2559	-73.93	 40.80	  0.20
  95	2570	-73.94	 40.80	  0.73
  96	2583	-73.98	 40.77	  0.32
  97	2615	-74.01	 40.75	  0.20
  98	2641	-73.96	 40.77	  0.20
  99	2664	-73.93	 40.81	  3.07
 100	2806	-74.00	 40.77	  0.20
